Date,AMZN,MSFT,TSLA,GOOG,AAPL,FB,JNJ,V,PG
2018-01-02,1189.010009765625,82.79899597167969,320.5299987792969,1065.0,166.0543212890625,181.4199981689453,130.09971618652344,112.50462341308594,83.57697296142578
2018-01-03,1204.199951171875,83.184326171875,317.25,1082.47998046875,166.02537536621094,184.6699981689453,131.34249877929688,113.62464141845705,83.4755630493164
2018-01-04,1209.5899658203125,83.91647338867188,314.6199951171875,1086.4000244140623,166.7965545654297,184.3300018310547,131.33314514160156,114.04711151123048,84.06562042236328
2018-01-05,1229.1400146484375,84.9568862915039,316.5799865722656,1102.22998046875,168.69557189941406,186.8500061035156,132.41708374023438,116.77843475341795,84.1209487915039
2018-01-08,1246.8699951171875,85.04357147216797,336.4100036621094,1106.93994140625,168.0690155029297,188.27999877929688,132.58528137207028,117.25000762939452,84.56350708007812
2018-01-09,1252.699951171875,84.98578643798828,333.69000244140625,1106.260009765625,168.0497283935547,187.8699951171875,134.687744140625,117.0240478515625,83.9457778930664
2018-01-10,1254.3299560546875,84.60044860839844,334.79998779296875,1102.6099853515623,168.0111846923828,187.83999633789062,134.52890014648438,116.89633178710938,83.41101837158203
2018-01-11,1276.6800537109375,84.85090637207031,337.95001220703125,1105.52001953125,168.96551513671875,187.7700042724609,135.29512023925778,117.74126434326172,83.11599731445312
2018-01-12,1305.199951171875,86.31517791748047,336.2200012207031,1122.260009765625,170.7103271484375,179.3699951171875,136.20147705078122,117.98688507080078,82.61813354492188
2018-01-16,1304.8599853515625,85.11100769042969,340.05999755859375,1121.760009765625,169.84274291992188,178.38999938964844,137.2293701171875,118.2816390991211,83.1805419921875
2018-01-17,1295.0,86.83537292480469,347.1600036621094,1131.97998046875,172.64791870117188,177.60000610351562,137.34150695800778,119.8437957763672,84.08406829833984
2018-01-18,1293.3199462890625,86.79685974121094,344.57000732421875,1129.7900390625,172.80213928222656,179.8000030517578,137.28543090820312,120.9540023803711,83.77711486816406
2018-01-19,1294.5799560546875,86.70052337646484,350.0199890136719,1137.510009765625,172.03097534179688,181.2899932861328,137.69656372070312,120.55118560791016,84.60393524169922
2018-01-22,1327.31005859375,88.2514877319336,351.55999755859375,1155.81005859375,170.6235809326172,185.3699951171875,138.42543029785156,122.15264129638672,85.36570739746094
2018-01-23,1362.5400390625,88.53087615966797,352.7900085449219,1169.969970703125,170.66209411621094,189.3500061035156,132.52923583984378,122.46703338623048,82.72734832763672
2018-01-24,1357.510009765625,88.45378875732422,345.8900146484375,1164.239990234375,167.9437255859375,186.5500030517578,132.75347900390622,122.3687744140625,82.03988647460938
2018-01-25,1377.949951171875,88.94511413574219,337.6400146484375,1170.3699951171875,164.94573974609375,187.47999572753903,134.93064880371094,123.0270538330078,82.0677719116211
2018-01-26,1402.050048828125,90.61167907714844,342.8500061035156,1175.8399658203125,165.33131408691406,190.0,135.79972839355472,124.10779571533205,81.5010757446289
2018-01-29,1417.6800537109375,90.476806640625,349.5299987792969,1175.5799560546875,161.9092254638672,185.97999572753903,134.25788879394528,122.65370178222656,80.6928482055664
2018-01-30,1437.8199462890625,89.3400650024414,345.82000732421875,1163.68994140625,160.95489501953125,187.1199951171875,133.08984375,121.38629150390624,80.77645111083984
2018-01-31,1450.8900146484375,91.52684783935548,354.30999755859375,1169.93994140625,161.3983154296875,186.88999938964844,129.1279296875,122.05438995361328,80.20977783203125
2018-02-01,1390.0,90.80435180664062,349.25,1167.699951171875,161.7357177734375,193.08999633789062,130.83792114257812,123.5182876586914,79.75455474853516
2018-02-02,1429.949951171875,88.4152603149414,343.75,1111.9000244140623,154.71798706054688,190.27999877929688,128.65138244628906,118.79253387451172,78.26814270019531
2018-02-05,1390.0,84.77384185791016,333.1300048828125,1055.800048828125,150.85240173339844,181.25999450683597,121.83942413330078,114.2337875366211,75.30465698242188
2018-02-06,1442.8399658203125,87.98175048828125,333.9700012207031,1080.5999755859377,157.15679931640625,185.30999755859372,123.18497467041016,117.86898803710938,76.53092956542969
2018-02-07,1416.780029296875,86.32481384277344,345.0,1048.5799560546877,153.7925262451172,180.17999267578125,122.80187225341795,117.55460357666016,76.02925872802734
2018-02-08,1350.5,81.89347076416016,315.2300109863281,1001.52001953125,149.5607147216797,171.5800018310547,118.07369995117188,111.86599731445312,74.5242919921875
2018-02-09,1339.5999755859375,84.94723510742188,310.4200134277344,1037.780029296875,151.39004516601562,176.11000061035156,121.03582000732422,114.2829132080078,74.2455825805664
2018-02-12,1386.22998046875,85.86239624023438,315.7300109863281,1051.93994140625,157.4878387451172,176.41000366210938,121.72730255126952,116.39527130126952,75.55548095703125
2018-02-13,1414.510009765625,86.53675842285156,323.6600036621094,1052.0999755859377,159.06553649902344,173.14999389648438,121.43763732910156,116.2773666381836,75.71340942382812
2018-02-14,1451.050048828125,87.89176940917969,322.30999755859375,1069.699951171875,161.99827575683594,179.52000427246094,121.16663360595705,118.71394348144531,74.95162200927734
2018-02-15,1461.760009765625,89.68231201171875,334.07000732421875,1089.52001953125,167.4379119873047,179.9600067138672,122.62433624267578,120.34768676757812,76.55880737304688
2018-02-16,1448.68994140625,89.04352569580078,335.489990234375,1094.800048828125,166.8958740234375,177.36000061035156,124.41841888427734,119.92449188232422,76.73532104492188
2018-02-20,1468.3499755859375,89.74038696289062,334.7699890136719,1102.4599609375,166.33450317382812,176.00999450683594,122.28792572021484,120.08196258544922,75.56478118896484
2018-02-21,1482.9200439453125,88.54989624023438,333.29998779296875,1111.3399658203123,165.57952880859375,177.91000366210938,121.39089965820312,118.52691650390624,74.54288482666016
